title,price,location,bedrooms,bathrooms,toilets,size
3 bedroom detached bungalow for sale,"99,750,000","Adron City Park And Gardens, Asejire, Ibadan, Oyo",3.0,4.0,4.0,500 sqm total area
9 bedroom detached bungalow for sale,"55,000,000","Close To Makoni Hotel, Ologuneru, Ibadan, Oyo",9.0,,9.0,605 sqm covered area
4 bedroom detached bungalow for sale,"50,000,000","Road 4 Ire-akari, Idi-oya, Ayegun Oleyo Road, Oluyole Extension, Ibadan, Oyo",4.0,,,500 sqm covered area
2 bedroom block of flats for sale,"130,000,000","Orange Gate, Oluyole Estate, Ibadan, Oyo",2.0,2.0,2.0,500 sqm covered area
4 bedroom detached duplex for sale,"340,000,000","Blue Gate Oluyole Estate, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
3 bedroom detached bungalow for sale,"8,000,000","Akinbode Zone 3, Oluwo, Alakia, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"25,000,000","Akinbode Zone 3, Oluwo, Alakia, Ibadan, Oyo",,,,400 sqm total area
2 bedroom block of flats for sale,"85,000,000","Airport, Alakia, Ibadan, Oyo",2.0,,,400 sqm total area
Block of flats for sale,"38,000,000","Paara, Inu Ewe, Alakia, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"200,000,000","New Bodija, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"25,000,000","Adogba, Monatan, Alakia, Ibadan, Oyo",,,,400 sqm total area
4 bedroom detached bungalow for sale,"40,000,000","Airport, Alakia, Ibadan, Oyo",4.0,4.0,,400 sqm total area
5 bedroom detached duplex for sale,"70,000,000","Barracks Road, Ojoo, Ibadan, Oyo",5.0,,,400 sqm total area
4 bedroom detached bungalow for sale,"15,000,000","Podo, Top One Garden Area, Challenge, Ibadan, Oyo",4.0,,,400 sqm total area
3 bedroom detached bungalow for sale,"90,000,000","Ope Odu Estate, Elewuro,akobo, Akobo, Ibadan, Oyo",3.0,4.0,,400 sqm total area
3 bedroom detached duplex for sale,"180,000,000","Alalubosa Gra, Ibadan, Oyo",3.0,4.0,,400 sqm total area
Block of flats for sale,"60,000,000","Ring Road, Challenge, Ibadan, Oyo",,,,400 sqm total area
6 bedroom detached bungalow for sale,"40,000,000","Odo Ona Elewe,orita, Challenge, Ibadan, Oyo",6.0,,,400 sqm total area
Block of flats for sale,"13,000,000","Oloruntedo, Iyana Agbala, Alakia, Ibadan, Oyo",,,,400 sqm total area
9 bedroom detached duplex for sale,"180,000,000","Prof. Peller Area, New Bodija, Ibadan, Oyo",9.0,,,400 sqm total area
Block of flats for sale,"75,000,000","Temidire Gra, Sdp, Wema Bank, Alakia, Ibadan, Oyo",,,,400 sqm total area
4 bedroom terraced duplex for sale,"220,000,000","Jericho, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
3 bedroom detached bungalow for sale,"160,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"80,000,000","Agbowo, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"200,000,000","Airforce Estate, Akobo, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"18,000,000","Olaogun, Old Ife Road, Alakia, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"50,000,000","Isokan Estate, Akobo, Ibadan, Oyo",,,,400 sqm total area
3 bedroom detached bungalow for sale,"50,000,000","Tomiwa Awe, Alengongo, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
3 bedroom detached bungalow for sale,"72,000,000","Ahoyaya Estate, Ile Tuntun, Jericho, Ibadan, Oyo",3.0,,,400 sqm total area
4 bedroom detached bungalow for sale,"68,000,000","Akilapa Estate, Jericho, Ibadan, Oyo",4.0,,,400 sqm total area
6 bedroom detached duplex for sale,"100,000,000","Omolayo Estate, Akobo, Ibadan, Oyo",6.0,,,400 sqm total area
4 bedroom terraced duplex for sale,"600,000,000","Gra, Alalubosa, Ibadan, Oyo",4.0,,,400 sqm total area
Block of flats for sale,"8,000,000","Gbaremu, Alakia, Ibadan, Oyo",,,,400 sqm total area
3 bedroom block of flats for sale,"85,000,000","Anifalaje, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"40,000,000","Olanrewaju, Alakia, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"70,000,000","Omolayo Road 3, Akobo, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"250,000,000","Adeoyo Road, Ringroad, Challenge, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"400,000,000","Ilaro Street, Old Bodija, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"420,000,000","Arigidi, Old Bodija, Ibadan, Oyo",,,,400 sqm total area
2 bedroom block of flats for sale,"54,000,000","Off All Saints College Road, Off Up Jesus Road, Idishin, Ibadan, Oyo",2.0,2.0,2.0,400 sqm total area
Block of flats for sale,"100,000,000","Benjamin, Eleyele, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"339,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",5.0,6.0,6.0,500 sqm total area
3 bedroom detached bungalow for sale,"29,000,000","Omi Adio, Apata, Ibadan, Oyo",3.0,3.0,3.0,500 sqm total area
4 bedroom house for sale,"32,000,000","Yawiri, Akobo Ojurin Ibadan, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
7 bedroom block of flats for sale,"70,000,000","Behind Brent Supermarket, Apata, Ibadan, Oyo",7.0,4.0,4.0,500 sqm total area
11 bedroom block of flats for sale,"265,000,000","Aare Oluyole Estate, Ibadan, Oyo",11.0,13.0,13.0,500 sqm total area
4 bedroom detached duplex for sale,"195,000,000","Palm Garden Estate, Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Alalubosa Gra, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"310,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
3 bedroom semi-detached duplex for sale,"160,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",3.0,3.0,4.0,500 sqm total area
4 bedroom detached duplex for sale,"220,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"200,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"315,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"195,000,000","Purple Estate, Oluyole, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Aerodrome Gra Samonda, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
Block of flats for sale,"70,000,000","Anfani Road, Ring Road,, Challenge, Ibadan, Oyo",,,,500 sqm total area
4 bedroom detached duplex for sale,"315,000,000","Carlton Gate Estate,kolapo Ishola, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"270,000,000","Carlton Gate Estate, Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
3 bedroom detached duplex for sale,"400,000,000","Oba Olagbegi Avenue, Old Bodija, Ibadan, Oyo",3.0,,,500 sqm total area
3 bedroom detached duplex for sale,"160,000,000","S & T Estate, Eleyele, Ibadan, Oyo",3.0,,,500 sqm total area
Block of flats for sale,"65,000,000","Alegongo Estate, Akobo, Ibadan, Oyo",,,,500 sqm total area
4 bedroom detached bungalow for sale,"35,000,000","Bcj Area, Apata, Ibadan, Oyo",4.0,,,500 sqm total area
4 bedroom detached bungalow for sale,"25,000,000","Isokan Estate, Akobo, Ibadan, Oyo",4.0,,,500 sqm total area
Block of flats for sale,"100,000,000","Wema, Iwo Road, Alakia, Ibadan, Oyo",,,,500 sqm total area
6 bedroom detached duplex for sale,"150,000,000","By Liberty Stadium, Oke Ado, Ibadan, Oyo",6.0,6.0,7.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
5 bedroom house for sale,"130,000,000","Ayegoro Estate, Akobo, Ibadan, Oyo",5.0,6.0,6.0,500 sqm total area
3 bedroom detached bungalow for sale,"180,000,000","Ikolaba/arisekola Street, New Bodija, Ibadan, Oyo",3.0,4.0,4.0,650 sqm total area
6 bedroom detached bungalow for sale,"130,000,000","Olive Estate, Ile Tuntun Jericho Extension, Jericho, Ibadan, Oyo",6.0,6.0,6.0,650 sqm total area
3 bedroom detached duplex for sale,"90,000,000","Adron City Park And Gardens, Phase 1, Asejire, Ibadan, Oyo",3.0,4.0,4.0,300 sqm covered area
4 bedroom semi-detached duplex for sale,"370,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,300 sqm covered area
4 bedroom detached duplex for sale,"230,000,000","Link Reservation, Golf Club, Onireke Gra, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
5 bedroom detached duplex for sale,"350,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,6.0,410 sqm total area
3 bedroom detached duplex for sale,"75,000,000","Adron Homes City Park & Gardens Estate Opposite Coca-cola Asejire, Ibadan, Oyo",3.0,4.0,4.0,410 sqm total area
Block of flats for sale,"75,000,000","Salawu, Opposite Welfare Hospital, Alakia, Ibadan, Oyo",,,,410 sqm total area
5 bedroom detached duplex for sale,"100,000,000","Tiger Mini Estate, Ojoo, Ibadan, Oyo",5.0,,,410 sqm total area
5 bedroom detached duplex for sale,"500,000,000","Gra, Agodi, Ibadan, Oyo",5.0,5.0,6.0,410 sqm total area
4 bedroom detached duplex for sale,"200,000,000","Gra, New Bodija, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
4 bedroom terraced duplex for sale,"90,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
5 bedroom detached duplex for sale,"210,000,000","Airforce Estate (bashorun Housing Estate), Akobo, Ibadan, Oyo",5.0,5.0,6.0,410 sqm total area
4 bedroom detached duplex for sale,"270,000,000","Carlton Gate Estate Akobo, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
4 bedroom detached duplex for sale,"220,000,000","Carlton Gate Estate Akobo, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
4 bedroom house for sale,"250,000,000","Jericho Gra, Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
3 bedroom detached bungalow for sale,"65,000,000","Tomiwa Awe Avenue, Alegongo Akobo, Ibadan, Oyo",3.0,3.0,4.0,410 sqm total area
2 bedroom block of flats for sale,"65,000,000","Behind Foodco Ringroad, Ibadan, Oyo",2.0,2.0,3.0,410 sqm total area
1 bedroom block of flats for sale,"55,000,000","Behind Foodco, Ringroad, Ibadan, Oyo",1.0,1.0,2.0,410 sqm total area
3 bedroom detached duplex for sale,"350,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",3.0,,,410 sqm total area
4 bedroom detached duplex for sale,"200,000,000","Ibadan, Oyo",4.0,4.0,5.0,410 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,410 sqm total area
3 bedroom detached bungalow for sale,"73,000,000","Ahoyaya Estate,ile Tuntun, Jericho, Ibadan, Oyo",3.0,4.0,4.0,410 sqm total area
3 bedroom detached bungalow for sale,"83,000,000","Abdulsalam Estate, Akala Way, Akobo, Ibadan, Oyo",3.0,4.0,4.0,400 sqm total area
5 bedroom house for sale,"160,000,000","Bashorun Housing Estate Akobo, Ibadan, Oyo",5.0,6.0,6.0,"1,200 sqm total area"
4 bedroom detached duplex for sale,"320,000,000","Agodi, Ibadan, Oyo",4.0,4.0,5.0,"1,200 sqm total area"
5 bedroom house for sale,"450,000,000","Engr Lere Adigun Gra, Ibadan, Oyo",5.0,5.0,6.0,500 sqm total area
4 bedroom detached duplex for sale,"465,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"240,000,000","Main Jericho Gra, Jericho, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
2 bedroom block of flats for sale,"250,000,000","Old Bodija, Ibadan, Oyo",2.0,2.0,3.0,"1,000 sqm total area"
4 bedroom detached bungalow for sale,"75,000,000","Yanbule Area Bashorun, Ibadan, Oyo",4.0,4.0,5.0,"1,000 sqm total area"
4 bedroom detached duplex for sale,"280,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"250,000,000","Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"260,000,000","Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
6 bedroom detached duplex for sale,"220,000,000","Felele Straight, Challenge, Ibadan, Oyo",6.0,6.0,7.0,500 sqm total area
Block of flats for sale,"45,000,000","National Estate, Kulodi, Alakia, Ibadan, Oyo",,,,500 sqm total area
3 bedroom detached bungalow for sale,"6,000,000","Olomo Area, Apete, Eleyele, Ibadan, Oyo",3.0,,,500 sqm total area
5 bedroom detached duplex for sale,"55,000,000","Bako Area, Apata, Ibadan, Oyo",5.0,,,500 sqm total area
Block of flats for sale,"35,000,000","Aromolaran, Old Ife Road, Alakia, Ibadan, Oyo",,,,500 sqm total area
Block of flats for sale,"30,000,000","Obat Tower, Adegbayi, Alakia, Ibadan, Oyo",,,,500 sqm total area
5 bedroom detached duplex for sale,"60,000,000","Babalola Estate,orita Challenge, Challenge, Ibadan, Oyo",5.0,,,500 sqm total area
4 bedroom detached bungalow for sale,"90,000,000","Ayegoro Estate, Akobo, Ibadan, Oyo",4.0,,,500 sqm total area
Block of flats for sale,"95,000,000","Challenge, Ibadan, Oyo",,,,500 sqm total area
2 bedroom terraced duplex for sale,"90,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",2.0,,,500 sqm total area
4 bedroom detached duplex for sale,"310,000,000","Carlton Gate Estate, Next To Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
3 bedroom detached bungalow for sale,"35,000,000","Treasure Island Estate, Osengere, Ife Road, Ibadan, Oyo",3.0,3.0,4.0,500 sqm total area
4 bedroom semi-detached duplex for sale,"375,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"450,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,6.0,6.0,500 sqm total area
5 bedroom detached duplex for sale,"450,000,000","Engineer Lere Adigun Gra, Ibadan, Oyo",5.0,6.0,6.0,500 sqm total area
5 bedroom semi-detached duplex for sale,"135,000,000","Behind Ashi-bodija Baptist College, Ibadan, Oyo",5.0,4.0,4.0,868 sqm total area
5 bedroom detached duplex for sale,"300,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,6.0,6.0,868 sqm total area
4 bedroom semi-detached duplex for sale,"370,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,868 sqm total area
4 bedroom detached duplex for sale,"250,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,5.0,5.0,868 sqm total area
4 bedroom detached duplex for sale,"250,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",4.0,5.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,400 sqm total area
5 bedroom detached duplex for sale,"300,000,000","Mallami, Oluyole Estate, Ibadan, Oyo",5.0,6.0,6.0,400 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",4.0,5.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Gra Phase 1, Alalubosa, Ibadan, Oyo",4.0,5.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"310,000,000","Carlton Gate, Akobo, Ibadan, Oyo",4.0,5.0,5.0,620 sqm total area
4 bedroom detached duplex for sale,"340,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,620 sqm covered area
5 bedroom detached duplex for sale,"180,000,000","Aare, New Bodija, Ibadan, Oyo",5.0,5.0,6.0,350 sqm total area
3 bedroom house for sale,"130,000,000","Ologuneru, Ibadan, Oyo",3.0,3.0,4.0,350 sqm total area
4 bedroom detached duplex for sale,"190,000,000","Star Gate Oluyole Estate, Ibadan, Oyo",4.0,4.0,4.0,350 sqm total area
5 bedroom detached duplex for sale,"140,000,000","Ire Akari Estate, Akala Express, Oluyole Extension, Ibadan, Oyo",5.0,6.0,7.0,350 sqm total area
7 bedroom detached duplex for sale,"250,000,000","Arapaja Estate, Oluyole Estate, Ibadan, Oyo",7.0,7.0,8.0,350 sqm total area
10 bedroom house for sale,"50,000,000","Kafolabi,alakia Junction New Ife Road, Alakia, Ibadan, Oyo",10.0,6.0,6.0,350 sqm total area
3 bedroom detached bungalow for sale,"65,000,000","Promiseland Estate, Elebu Off Akala Express, Ibadan, Oyo",3.0,3.0,4.0,350 sqm total area
3 bedroom detached bungalow for sale,"50,000,000","Wisdom Estate, Akobo, Ibadan, Oyo",3.0,3.0,4.0,560 sqm total area
4 bedroom detached duplex for sale,"200,000,000","Omolayo Akobo, Ibadan, Oyo",4.0,5.0,5.0,560 sqm total area
5 bedroom detached duplex for sale,"55,000,000","Akobo Ojurin, Ibadan, Oyo",5.0,5.0,5.0,560 sqm total area
5 bedroom detached duplex for sale,"110,000,000","New Bodija Estate, Ibadan, Oyo",5.0,,6.0,"1,000 sqm total area"
5 bedroom detached duplex for sale,"300,000,000","Aerodrome Gra, Ibadan, Oyo",5.0,5.0,6.0,"1,000 sqm total area"
4 bedroom detached duplex for sale,"330,000,000","Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,"1,000 sqm total area"
3 bedroom detached duplex for sale,"290,000,000","Jericho, Ibadan, Oyo",3.0,4.0,4.0,"1,000 sqm total area"
9 bedroom detached duplex for sale,"620,000,000","Forest Hill Estate, Jericho Gra, Ibadan, Oyo",9.0,12.0,12.0,"1,000 sqm total area"
3 bedroom detached bungalow for sale,"85,000,000","Abdul Salam Estate Akala Way, Akobo, Ibadan, Oyo",3.0,4.0,4.0,"1,000 sqm total area"
4 bedroom detached duplex for sale,"270,000,000","Carlton Gate, Akobo, Ibadan, Oyo",4.0,5.0,5.0,"1,000 sqm total area"
4 bedroom detached duplex for sale,"200,000,000","Carlton Gate Estate, Beside Kolapo Ishola, Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,"1,000 sqm total area"
3 bedroom detached bungalow for sale,"50,000,000","Temidire Estate, Ologuneru, Eleyele, Ibadan, Oyo",3.0,3.0,4.0,"1,000 sqm total area"
4 bedroom detached duplex for sale,"195,000,000","Palm Garden Estate, Oluyole Estate, Ibadan, Oyo",4.0,5.0,5.0,550 sqm total area
4 bedroom detached duplex for sale,"180,000,000","Kolapo Ishola Gra, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"185,000,000","Emmanuel Estate, Ile Tuntun, Jericho Extension, Jericho, Ibadan, Oyo",4.0,5.0,5.0,400 sqm total area
6 bedroom block of flats for sale,"58,000,000","Ire Akari Close Estate, Ologuneru, Eleyele, Ibadan, Oyo",6.0,7.0,7.0,400 sqm total area
5 bedroom semi-detached duplex for sale,"130,000,000","Emmanuel Estate, Ile Tuntun, Jericho, Ibadan, Oyo",5.0,,,400 sqm total area
4 bedroom detached duplex for sale,"340,000,000","Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"45,000,000","Isokan Estate, Apata, Ibadan, Oyo",4.0,,,400 sqm total area
3 bedroom terraced duplex for sale,"110,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
5 bedroom detached duplex for sale,"350,000,000","Legacy Estate, Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,5.0,400 sqm total area
3 bedroom detached bungalow for sale,"65,000,000","Temidire Estate, Ologuneru, Ibadan, Oyo",3.0,3.0,4.0,400 sqm total area
4 bedroom semi-detached duplex for sale,"250,000,000","Jericho Gra, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
5 bedroom detached duplex for sale,"450,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,6.0,400 sqm total area
4 bedroom semi-detached duplex for sale,"130,000,000","Emmanuel Estate, Ile-titun Area, Jericho/idi-ishin Extension, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
3 bedroom detached bungalow for sale,"65,000,000","Temidire Estate,, Ologuneru, Ibadan, Oyo",3.0,,,400 sqm total area
3 bedroom detached bungalow for sale,"44,500,000","Baay Foreshore, Omititun Estate, Ibadan, Oyo",3.0,3.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"380,000,000","Kolapo Ishola Estate, Akobo, Ibadan, Oyo",5.0,6.0,6.0,400 sqm total area
3 bedroom detached bungalow for sale,"55,000,000","Peculiar Estate, Idi Ape, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
5 bedroom detached bungalow for sale,"32,000,000","Sarumi, International Airport Area, Alakia, Ibadan, Oyo",5.0,,,400 sqm total area
4 bedroom house for sale,"90,000,000","Arapaja, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
4 bedroom semi-detached duplex for sale,"120,000,000","Adeoyo, Ring Road, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"650,000,000","Forest Hill Estate, Jericho, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"110,000,000","Bashorun, New Bodija, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"15,000,000","Gbaremu, Alakia, Ibadan, Oyo",,,,400 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
2 bedroom terraced duplex for sale,"90,000,000","Ashi - Bodija, Ibadan, Oyo",2.0,2.0,3.0,400 sqm total area
3 bedroom detached bungalow for sale,"80,000,000","Idi Ishin, Jericho, Ibadan, Oyo",3.0,4.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"100,000,000","Tiger Mini Estate, Ojoo, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"55,000,000","Temidire Estate, Sdp, Old Ife Road, Alakia, Ibadan, Oyo",,,,400 sqm total area
3 bedroom detached bungalow for sale,"20,000,000","Olorisa Oko, Moniya, Train Station, Ojoo, Ibadan, Oyo",3.0,3.0,,400 sqm total area
4 bedroom terraced duplex for sale,"90,000,000","Kolapo Isola Gra, Akobo, Ibadan, Oyo",4.0,,,400 sqm total area
5 bedroom detached duplex for sale,"450,000,000","Alpha Grace Estate, Jericho, Ibadan, Oyo",5.0,,,400 sqm total area
3 bedroom detached duplex for sale,"85,000,000","Ibadan, Oyo",3.0,,,400 sqm total area
4 bedroom detached bungalow for sale,"15,000,000","Agbomati, Olodo, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"385,000,000","Gov Ajimobiâs Street Oluyole Estate, Ibadan, Oyo",5.0,5.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"550,000,000","Agodi Gra, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"450,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,5.0,400 sqm total area
4 bedroom detached bungalow for sale,"170,000,000","Arapaja Estate Oluyole, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
4 bedroom detached duplex for sale,"195,000,000","Palm Garden Estate, Green Gate, Oluyole, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
4 bedroom detached duplex for sale,"210,000,000","Carlton Estate, Kolapo Ishola, Akobo, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
4 bedroom detached duplex for sale,"310,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
3 bedroom detached bungalow for sale,"75,000,000","Ile Titun Nihort Area Jericho, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
4 bedroom terraced duplex for sale,"280,000,000","Alalubosa Main Gra, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
2 bedroom detached bungalow for sale,"140,000,000","Ile Titun Jericho, Ibadan, Oyo",2.0,2.0,2.0,400 sqm total area
3 bedroom detached bungalow for sale,"30,000,000","Erunmu, Olodo, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
3 bedroom detached duplex for sale,"290,000,000","Main Jericho Gra, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
3 bedroom detached bungalow for sale,"45,000,000","Succes Olorunda Akobo, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
3 bedroom detached bungalow for sale,"35,000,000","Akoto Estate, Elebu, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
5 bedroom detached duplex for sale,"480,000,000","Oluyole Main Gra, Ibadan, Oyo",5.0,5.0,5.0,400 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
2 bedroom block of flats for sale,"65,000,000","Alapata, Off Lifeforte Group Of School, Apáº¹táº¹, Ibadan, Oyo",2.0,2.0,2.0,400 sqm total area
4 bedroom detached bungalow for sale,"110,000,000","Baba Agba Area, Off Eleyele-ido Road, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
5 bedroom detached duplex for sale,"170,000,000","Akoto Estate, Elebu, Oluyole Extension, Ibadan, Oyo",5.0,5.0,5.0,400 sqm total area
4 bedroom block of flats for sale,"65,000,000","Victory Garden Estate, Via Akoto 1st Gate, Elebu, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
3 bedroom detached bungalow for sale,"75,000,000","Elebu Area Off Akala Express, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
3 bedroom detached bungalow for sale,"35,000,000","Owode Area, Apata, Ibadan, Oyo",3.0,3.0,3.0,400 sqm total area
3 bedroom detached bungalow for sale,"45,000,000","Karinkapo Estate, Tipper Garage, Akala Express, Ibadan, Oyo",3.0,3.0,3.0,312 sqm covered area
3 bedroom detached bungalow for sale,"65,000,000","Eleyele Area, Ibadan, Oyo",3.0,3.0,3.0,312 sqm covered area
2 bedroom detached duplex for sale,"100,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",2.0,2.0,2.0,312 sqm covered area
4 bedroom detached bungalow for sale,"70,000,000","Sunshine School, Ologuneru, Ibadan, Oyo",4.0,4.0,4.0,312 sqm covered area
7 bedroom detached duplex for sale,"160,000,000","Adeojo Estate Off Akala Express Way, Ibadan, Oyo",7.0,7.0,7.0,700 sqm covered area
4 bedroom detached bungalow for sale,"220,000,000","Kolapo Ishola Gra Akobo, Ibadan, Oyo",4.0,4.0,4.0,740 sqm covered area
3 bedroom detached bungalow for sale,"75,000,000","Green View Estate, Oritamerin, Elebu, Oluyole Extension, Ibadan, Oyo",3.0,3.0,3.0,550 sqm covered area
