title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
5 bedroom semi-detached duplex for sale,240000000.0,Jericho,5.0,6.0,6.0,560,duplex,48000000.0,428571.4285714286
5 bedroom detached duplex for sale,55000000.0,Akobo Ojurin,5.0,5.0,5.0,560,duplex,11000000.0,98214.28571428571
5 bedroom detached duplex for sale,310000000.0,Akobo,5.0,6.0,6.0,560,duplex,62000000.0,553571.4285714285
4 bedroom detached duplex for sale,200000000.0,New Bodija,4.0,5.0,5.0,560,duplex,50000000.0,357142.85714285716
6 bedroom detached duplex for sale,350000000.0,Kolapo Ishola Gra,6.0,7.0,7.0,450,duplex,58333333.333333336,777777.7777777778
6 bedroom detached duplex for sale,180000000.0,Akala Express,6.0,6.0,7.0,1,duplex,30000000.0,180000000.0
12 bedroom block of flats for sale,400000000.0,Akobo,12.0,12.0,15.0,1,apartment,33333333.333333332,400000000.0
5 bedroom detached duplex for sale,180000000.0,By Jagz Hotel,5.0,5.0,5.0,1,duplex,36000000.0,180000000.0
4 bedroom house for sale,105000000.0,Akobo,4.0,4.0,4.0,1,other,26250000.0,105000000.0
4 bedroom semi-detached duplex for sale,150000000.0,Oyo,4.0,4.0,5.0,1,duplex,37500000.0,150000000.0
4 bedroom house for sale,300000000.0,Beside Kolapo Ishola Gra,4.0,4.0,4.0,1,other,75000000.0,300000000.0
5 bedroom detached duplex for sale,350000000.0,Akobo,5.0,5.0,6.0,1,duplex,70000000.0,350000000.0
3 bedroom detached bungalow for sale,30000000.0,Ologuneru,3.0,3.0,3.0,1,bungalow,10000000.0,30000000.0
2 bedroom block of flats for sale,120000000.0,Ologuneru,2.0,2.0,2.0,1,apartment,60000000.0,120000000.0
4 bedroom detached duplex for sale,200000000.0,Ikolaba Gra,4.0,4.0,5.0,1,duplex,50000000.0,200000000.0
3 bedroom detached bungalow for sale,68000000.0,Off Ologuneru Eleyele Road,3.0,3.0,4.0,1,bungalow,22666666.666666668,68000000.0
4 bedroom detached duplex for sale,270000000.0,Akobo Gra,4.0,4.0,4.0,400,duplex,67500000.0,675000.0
4 bedroom detached duplex for sale,300000000.0,Akobo,4.0,4.0,4.0,400,duplex,75000000.0,750000.0
4 bedroom semi-detached duplex for sale,99000000.0,Asunle 2nd Bus Stop,4.0,4.0,5.0,400,duplex,24750000.0,247500.0
5 bedroom detached duplex for sale,420000000.0,Engr Lere Adigun Gra,5.0,5.0,6.0,400,duplex,84000000.0,1050000.0
4 bedroom detached bungalow for sale,65000000.0,Maberi Idi Ishin Off Ajinde Akala Express Oluyole Extension,4.0,4.0,4.0,400,bungalow,16250000.0,162500.0
5 bedroom detached duplex for sale,175000000.0,Jericho,5.0,5.0,6.0,400,duplex,35000000.0,437500.0
6 bedroom detached duplex for sale,340000000.0,Oluyole Estate,6.0,6.0,6.0,400,duplex,56666666.666666664,850000.0
Block of flats for sale,95000000.0,Challenge,4.0,4.0,4.0,400,apartment,23750000.0,237500.0
Block of flats for sale,35000000.0,Old Ife Road,4.0,4.0,4.0,400,apartment,8750000.0,87500.0
5 bedroom terraced duplex for sale,250000000.0,Gra Akobo Ibadan,5.0,6.0,6.0,400,duplex,50000000.0,625000.0
Block of flats for sale,23000000.0,Opposite Wisdom Estate,4.0,4.0,4.0,400,apartment,5750000.0,57500.0
9 bedroom detached duplex for sale,180000000.0,New Bodija,9.0,9.0,9.0,400,duplex,20000000.0,450000.0
